Class_ID,Preferred.Label,Synonyms,Definitions,Obsolete,CUI,Semantic.Types,Parents,ATC.LEVEL,Is.Drug.Class,Semantic.type.UMLS.property
http://purl.bioontology.org/ontology/UATC/A03AX13,silicones,,NA,false,C0037114,http://purl.bioontology.org/ontology/STY/T109|http://purl.bioontology.org/ontology/STY/T122,http://purl.bioontology.org/ontology/UATC/A03AX,5,,http://purl.bioontology.org/ontology/STY/T109|http://purl.bioontology.org/ontology/STY/T122
http://purl.bioontology.org/ontology/UATC/J01DB07,cefatrizine,,NA,false,C0007545,http://purl.bioontology.org/ontology/STY/T195|http://purl.bioontology.org/ontology/STY/T109,http://purl.bioontology.org/ontology/UATC/J01DB,5,,http://purl.bioontology.org/ontology/STY/T195|http://purl.bioontology.org/ontology/STY/T109
http://purl.bioontology.org/ontology/UATC/V09AA,"Technetium 99m compounds, central nervous system diagnostic radiopharmaceuticals",Technetium (99mTc) compounds,NA,false,C3541402,http://purl.bioontology.org/ontology/STY/T130|http://purl.bioontology.org/ontology/STY/T109,http://purl.bioontology.org/ontology/UATC/V09A,4,Y,http://purl.bioontology.org/ontology/STY/T130|http://purl.bioontology.org/ontology/STY/T109
http://purl.bioontology.org/ontology/UATC/G03GA04,urofollitropin,,NA,false,C0524639,http://purl.bioontology.org/ontology/STY/T116|http://purl.bioontology.org/ontology/STY/T125|http://purl.bioontology.org/ontology/STY/T121,http://purl.bioontology.org/ontology/UATC/G03GA,5,,http://purl.bioontology.org/ontology/STY/T116|http://purl.bioontology.org/ontology/STY/T125|http://purl.bioontology.org/ontology/STY/T121
http://purl.bioontology.org/ontology/UATC/D04AA10,promethazine,,NA,false,C0033405,http://purl.bioontology.org/ontology/STY/T109|http://purl.bioontology.org/ontology/STY/T121,http://purl.bioontology.org/ontology/UATC/D04AA,5,,http://purl.bioontology.org/ontology/STY/T109|http://purl.bioontology.org/ontology/STY/T121
http://purl.bioontology.org/ontology/UATC/C02LX01,pinacidil and diuretics,,NA,false,C3653052,http://purl.bioontology.org/ontology/STY/T109|http://purl.bioontology.org/ontology/STY/T121,http://purl.bioontology.org/ontology/UATC/C02LX,5,,http://purl.bioontology.org/ontology/STY/T109|http://purl.bioontology.org/ontology/STY/T121
http://purl.bioontology.org/ontology/UATC/L03AA09,sargramostim,,NA,false,C0216231,http://purl.bioontology.org/ontology/STY/T116|http://purl.bioontology.org/ontology/STY/T129|http://purl.bioontology.org/ontology/STY/T121,http://purl.bioontology.org/ontology/UATC/L03AA,5,,http://purl.bioontology.org/ontology/STY/T116|http://purl.bioontology.org/ontology/STY/T129|http://purl.bioontology.org/ontology/STY/T121
http://purl.bioontology.org/ontology/UATC/B01AC23,cilostazol,,NA,false,C0055729,http://purl.bioontology.org/ontology/STY/T109|http://purl.bioontology.org/ontology/STY/T121,http://purl.bioontology.org/ontology/UATC/B01AC,5,,http://purl.bioontology.org/ontology/STY/T109|http://purl.bioontology.org/ontology/STY/T121
http://purl.bioontology.org/ontology/UATC/N05CX05,"emepronium, combinations",,NA,false,C3653140,http://purl.bioontology.org/ontology/STY/T109|http://purl.bioontology.org/ontology/STY/T121,http://purl.bioontology.org/ontology/UATC/N05CX,5,,http://purl.bioontology.org/ontology/STY/T109|http://purl.bioontology.org/ontology/STY/T121
http://purl.bioontology.org/ontology/UATC/B06AC05,lanadelumab,,NA,false,C4505508,http://purl.bioontology.org/ontology/STY/T116|http://purl.bioontology.org/ontology/STY/T129|http://purl.bioontology.org/ontology/STY/T121,http://purl.bioontology.org/ontology/UATC/B06AC,5,,http://purl.bioontology.org/ontology/STY/T116|http://purl.bioontology.org/ontology/STY/T129|http://purl.bioontology.org/ontology/STY/T121
